21;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 1}
9;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 1}
6;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 1, 'is': 0}
6;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
5;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 1, 'is': 0}
4;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
3;{'+': 1, '-': 1, '*': 1, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 1}
2;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 1}
2;{'+': 1, '-': 1, '*': 1, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 1}
2;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 1}
2;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 1}
2;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 1}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 0, '-': 1, '*': 1, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 1}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 1}
1;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 1, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 1}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 0}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 0, '==': 0, 'is': 1}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 1, 'is': 1}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 1}
