5;{'+': 0, '-': 0, '*': 0, '/': 1, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 0}
3;{'+': 1, '-': 0, '*': 0, '/': 1, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
3;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 1, 'if': 1, '==': 1, 'is': 0}
3;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 1, '%': 1, 'if': 1, '==': 0, 'is': 0}
3;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 0}
3;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 0}
3;{'+': 0, '-': 0, '*': 0, '/': 1, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 0, 'is': 0}
3;{'+': 1, '-': 0, '*': 1, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
2;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 1, 'is': 0}
2;{'+': 1, '-': 0, '*': 1, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
2;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 1, 'if': 1, '==': 1, 'is': 0}
2;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
2;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
2;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 1, 'if': 1, '==': 1, 'is': 0}
2;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 0}
2;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 0}
2;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 1}
2;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 1, 'is': 0}
2;{'+': 1, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 1}
2;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
2;{'+': 0, '-': 0, '*': 1, '/': 1, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
2;{'+': 1, '-': 0, '*': 1, '/': 1, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 1}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 1, 'is': 0}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 0, 'is': 1}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 1, '%': 1, 'if': 1, '==': 1, 'is': 1}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 1, 'is': 1}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 0}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 0, '*': 1, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 1, 'is': 0}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 1, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 1, '/': 1, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 0, 'if': 0, '==': 0, 'is': 1}
1;{'+': 0, '-': 1, '*': 1, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 1, '*': 1, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 0, '-': 1, '*': 1, '/': 0, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 1, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 1, '/': 1, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 0, '==': 0, 'is': 0}
1;{'+': 0, '-': 1, '*': 1, '/': 1, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 1}
1;{'+': 0, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 1, '-': 0, '*': 0, '/': 0, 'for': 0, 'while': 1, 'print': 0, '%': 1, 'if': 1, '==': 0, 'is': 0}
1;{'+': 0, '-': 0, '*': 0, '/': 1, 'for': 1, 'while': 0, 'print': 0, '%': 1, 'if': 1, '==': 1, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 0, '%': 0, 'if': 1, '==': 0, 'is': 0}
1;{'+': 0, '-': 1, '*': 0, '/': 0, 'for': 0, 'while': 0, 'print': 1, '%': 0, 'if': 1, '==': 1, 'is': 0}
