{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 2, 'If': 1} 1
{'Sub': 3, 'For': 4, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 6, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 2, 'For': 3, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 1, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 2, 'For': 0, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 4, 'If': 0} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 5, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 5, 'If': 2} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 1} 1
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 3} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 0} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 5, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 2} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 2, 'If': 0} 1
{'Sub': 2, 'For': 3, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 2} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 5, 'If': 0} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 3, 'If': 1} 1
{'Sub': 2, 'For': 4, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 6, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 1} 1
{'Sub': 2, 'For': 0, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 8, 'If': 0} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 1} 1
{'Sub': 3, 'For': 1, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 1, 'Eq': 0, 'Mult': 3, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 1} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 2} 1
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 5, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 2, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 1, 'Eq': 2, 'Mult': 2, 'If': 1} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 1, 'Mult': 3, 'If': 1} 1
{'Sub': 2, 'For': 0, 'Is': 0, 'Add': 3, 'While': 2, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 2, 'For': 3, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 0, 'Is': 0, 'Add': 3, 'While': 1, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 1, 'Mult': 3, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 6, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 0, 'If': 1} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 2} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 1, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 1} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 3, 'If': 2} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 2} 1
{'Sub': 0, 'For': 0, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 5, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 5, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 2, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 3, 'Mult': 2, 'If': 2} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 0, 'If': 1} 1
{'Sub': 3, 'For': 3, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 0, 'If': 2} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 5, 'If': 0} 1
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 0, 'If': 1} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 1, 'If': 0} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 3, 'If': 1} 1
{'Sub': 3, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 3, 'If': 4} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 2} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 1, 'Eq': 1, 'Mult': 2, 'If': 1} 1
{'Sub': 2, 'For': 3, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 1} 1
{'Sub': 2, 'For': 0, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 4, 'If': 0} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 2, 'If': 2} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 4, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 1} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 1} 1
{'Sub': 0, 'For': 2, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 0, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 1} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 1, 'If': 1} 1
{'Sub': 2, 'For': 2, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 5, 'Div': 0, 'Mod': 0, 'Eq': 4, 'Mult': 0, 'If': 4} 1
{'Sub': 0, 'For': 1, 'Is': 0, 'Add': 1, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 1} 1
{'Sub': 1, 'For': 2, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 2, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 1, 'If': 2} 1
{'Sub': 2, 'For': 1, 'Is': 0, 'Add': 2, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 2, 'If': 2} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 0, 'For': 0, 'Is': 0, 'Add': 0, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 0, 'If': 0} 1
{'Sub': 2, 'For': 0, 'Is': 0, 'Add': 3, 'While': 1, 'Print': 3, 'Div': 0, 'Mod': 0, 'Eq': 0, 'Mult': 3, 'If': 0} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 1, 'Div': 0, 'Mod': 0, 'Eq': 2, 'Mult': 2, 'If': 1} 1
{'Sub': 1, 'For': 1, 'Is': 0, 'Add': 3, 'While': 0, 'Print': 4, 'Div': 0, 'Mod': 1, 'Eq': 2, 'Mult': 3, 'If': 2} 1
