name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Trojuhelnik,Velke X,Vypis prvocisel
 break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
%,0,1.0,1.0,1.5849625007211563,0,1.0,0,0,0,0,0,1.5849625007211563,0,0,1.0,0,1.0,0,1.0,0,0,0,1.0
*,1.5849625007211563,0,0,0,3.0,0,1.0,1.0,0,1.5849625007211563,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1.0,1.5849625007211563,1.0,0,2.0,1.0,0,1.0,1.0,0,0,1.0,0,0,1.5849625007211563,1.5849625007211563,1.0,1.5849625007211563,1.0,0,0,0,1.5849625007211563
-,1.5849625007211563,0,0,0,1.5849625007211563,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,1.0,1.5849625007211563,0
/,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
==,1.0,1.0,0,1.5849625007211563,0,1.0,0,0,0,0,0,1.5849625007211563,0,0,1.0,1.0,1.0,0,1.0,0,0,1.5849625007211563,1.5849625007211563
^,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for,1.0,0,0,1.5849625007211563,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,2.0,1.0,1.0,1.5849625007211563,1.0,1.0,1.0,1.5849625007211563,1.5849625007211563,1.0
if,1.0,1.0,1.0,1.5849625007211563,0,1.0,0,0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,0,0,1.0,1.5849625007211563
print,0,1.0,0,2.321928094887362,2.0,1.0,1.0,0,1.0,1.0,0,0,0,1.5849625007211563,0,0,2.0,0,1.0,1.0,1.0,1.0,1.0
try:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
while,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
