name,Binarni cislo,Binarni zapis,Ciferny soucet,Cik-cak,Ctverec,Delitele,Dvojnasobek,Faktorial,Fibonacciho posloupnost,Mocniny dvojky,Nejdelsi slovo,Nejvetsi spolecny delitel,Palindrom,Pascaluv trojuhelnik,Pocet delitelu,Prvni pismena,Sachovnice,Soucet,Suda cisla,Tajna posloupnost,Trojuhelnik,Velke X,Vypis prvocisel
+,1.00,2.00,1.00,0.50,2.00,0.50,0.50,0.50,1.00,0.00,0.00,0.50,0.00,0.50,1.50,1.00,0.50,1.50,0.50,1.00,0.00,0.50,2.00
-,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.50,0.00
*,2.50,0.00,0.00,0.00,4.00,0.00,0.50,1.00,0.00,1.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
/,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
for,1.00,0.00,0.00,2.00,1.50,1.00,0.00,0.50,1.00,1.00,1.00,0.50,0.50,2.50,1.00,0.50,2.00,1.00,1.00,1.50,1.50,2.00,1.00
while,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
print,0.00,1.00,0.00,3.50,3.00,1.00,1.00,0.00,1.50,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.50,0.00,1.00,1.00,1.00,1.00,0.50
%,0.00,1.00,1.00,1.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.00,0.50,1.50,0.00,1.00,0.00,0.00,0.00,1.00
^,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
try:,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
if,0.50,1.00,1.00,1.50,0.50,1.00,0.00,0.50,0.00,0.00,1.50,0.50,1.00,0.00,1.00,1.00,1.50,0.00,1.00,0.50,0.00,1.00,2.00
 break,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
==,0.50,1.00,0.00,1.50,2.00,1.00,0.00,0.50,0.00,0.00,0.50,1.00,0.00,0.00,1.00,1.00,1.50,0.00,1.00,0.50,0.00,2.00,2.00
